platform,contest_id,contest_title,start_time,year,contest_family
Codeforces,2056,Codeforces Round 997 (Div. 2),2025-01-17 14:35:00,2025,Div.2
Codeforces,2055,Codeforces Round 996 (Div. 2),2025-01-12 14:35:00,2025,Div.2
Codeforces,2057,Hello 2025,2025-01-04 14:35:00,2025,Other
Codeforces,2053,Good Bye 2024: 2025 is NEAR,2024-12-28 14:35:00,2024,Other
Codeforces,2043,Educational Codeforces Round 173 (Rated for Div. 2),2024-12-24 14:35:00,2024,Educational
Codeforces,2054,MaraTON Challenge 1,2024-12-23 13:35:00,2024,Other
Codeforces,2051,Codeforces Round 995 (Div. 3),2024-12-22 14:35:00,2024,Div.3
Codeforces,2049,Codeforces Round 994 (Div. 2),2024-12-20 14:35:00,2024,Div.2
Codeforces,2048,Codeforces Global Round 28,2024-12-19 14:35:00,2024,Other
Codeforces,2044,Codeforces Round 993 (Div. 4),2024-12-15 14:35:00,2024,Div.4
Codeforces,2052,"2024-2025 ICPC, NERC, Northern Eurasia Finals (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",2024-12-15 07:35:00,2024,Other
Codeforces,2040,Codeforces Round 992 (Div. 2),2024-12-08 14:35:00,2024,Div.2
Codeforces,2050,Codeforces Round 991 (Div. 3),2024-12-05 14:35:00,2024,Div.3
Codeforces,2046,Codeforces Round 990 (Div. 1),2024-12-03 06:25:00,2024,Div.1
Codeforces,2047,Codeforces Round 990 (Div. 2),2024-12-03 06:25:00,2024,Div.2
Codeforces,2042,Educational Codeforces Round 172 (Rated for Div. 2),2024-12-02 14:35:00,2024,Educational
Codeforces,2045,"2024-2025 ICPC Asia Jakarta Regional Contest (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",2024-12-01 05:05:00,2024,Other
Codeforces,2034,"Rayan Programming Contest 2024 - Selection (Codeforces Round 989, Div. 1 + Div. 2)",2024-11-30 14:35:00,2024,Div.1+Div.2
Codeforces,2041,"2024 ICPC Asia Taichung Regional Contest (Unrated, Online Mirror, ICPC Rules, Preferably Teams)",2024-11-24 07:05:00,2024,Other
Codeforces,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)",2024-11-23 14:35:00,2024,Div.1+Div.2
Codeforces,2038,"2024-2025 ICPC, NERC, Southern and Volga Russian Regional Contest (Unrated, Online Mirror, ICPC Rules, Preferably Teams)",2024-11-18 10:35:00,2024,Other
Codeforces,2037,Codeforces Round 988 (Div. 3),2024-11-17 14:35:00,2024,Div.3
Codeforces,2031,Codeforces Round 987 (Div. 2),2024-11-15 12:35:00,2024,Div.2
Codeforces,2028,Codeforces Round 986 (Div. 2),2024-11-10 15:35:00,2024,Div.2
Codeforces,2029,Refact.ai Match 1 (Codeforces Round 985),2024-11-09 14:35:00,2024,Other
Codeforces,2036,Codeforces Round 984 (Div. 3),2024-11-02 14:35:00,2024,Div.3
Codeforces,2032,Codeforces Round 983 (Div. 2),2024-11-01 14:35:00,2024,Div.2
Codeforces,2026,Educational Codeforces Round 171 (Rated for Div. 2),2024-10-28 14:35:00,2024,Educational
Codeforces,2035,Codeforces Global Round 27,2024-10-27 14:35:00,2024,Other
Codeforces,2027,Codeforces Round 982 (Div. 2),2024-10-26 14:35:00,2024,Div.2
Codeforces,2033,Codeforces Round 981 (Div. 3),2024-10-24 14:35:00,2024,Div.3
Codeforces,2023,Codeforces Round 980 (Div. 1),2024-10-20 09:05:00,2024,Div.1
Codeforces,2024,Codeforces Round 980 (Div. 2),2024-10-20 09:05:00,2024,Div.2
Codeforces,2030,Codeforces Round 979 (Div. 2),2024-10-19 14:05:00,2024,Div.2
Codeforces,2025,Educational Codeforces Round 170 (Rated for Div. 2),2024-10-14 14:35:00,2024,Educational
Codeforces,2022,Codeforces Round 978 (Div. 2),2024-10-13 19:35:00,2024,Div.2
Codeforces,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)",2024-10-06 06:05:00,2024,Div.2
Codeforces,2011,Kotlin Heroes: Episode 11,2024-09-30 14:35:00,2024,Other
Codeforces,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0,2024-09-29 15:35:00,2024,Div.2
Codeforces,2018,Codeforces Round 975 (Div. 1),2024-09-27 13:35:00,2024,Div.1
Codeforces,2019,Codeforces Round 975 (Div. 2),2024-09-27 13:35:00,2024,Div.2
Codeforces,2014,Codeforces Round 974 (Div. 3),2024-09-21 14:45:00,2024,Div.3
Codeforces,2013,Codeforces Round 973 (Div. 2),2024-09-20 14:35:00,2024,Div.2
Codeforces,2012,Kotlin Heroes: Practice 11,2024-09-17 14:35:00,2024,Other
Codeforces,2015,2024 ICPC World Finals Challenge powered by Huawei,2024-09-17 06:34:00,2024,Other
Codeforces,2017,2024 ICPC World Finals: JetBrains Tech Trek,2024-09-17 04:47:00,2024,Other
Codeforces,2005,Codeforces Round 972 (Div. 2),2024-09-14 14:35:00,2024,Div.2
Codeforces,2009,Codeforces Round 971 (Div. 4),2024-09-03 14:35:00,2024,Div.4
Codeforces,2008,Codeforces Round 970 (Div. 3),2024-09-01 14:35:00,2024,Div.3
Codeforces,2006,Codeforces Round 969 (Div. 1),2024-08-30 14:35:00,2024,Div.1
Codeforces,2007,Codeforces Round 969 (Div. 2),2024-08-30 14:35:00,2024,Div.2
Codeforces,2010,Testing Round 19 (Div. 3),2024-08-28 20:35:00,2024,Div.3
Codeforces,2003,Codeforces Round 968 (Div. 2),2024-08-25 14:35:00,2024,Div.2
Codeforces,2001,Codeforces Round 967 (Div. 2),2024-08-20 14:35:00,2024,Div.2
Codeforces,2004,Educational Codeforces Round 169 (Rated for Div. 2),2024-08-15 14:35:00,2024,Educational
Codeforces,2000,Codeforces Round 966 (Div. 3),2024-08-13 14:40:00,2024,Div.3
Codeforces,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),2024-08-11 14:35:00,2024,Div.1+Div.2
Codeforces,1998,Codeforces Round 965 (Div. 2),2024-08-10 14:35:00,2024,Div.2
Codeforces,1999,Codeforces Round 964 (Div. 4),2024-08-06 14:35:00,2024,Div.4
Codeforces,1993,Codeforces Round 963 (Div. 2),2024-08-04 14:35:00,2024,Div.2
Codeforces,1997,Educational Codeforces Round 168 (Rated for Div. 2),2024-07-30 14:35:00,2024,Educational
Codeforces,1991,Pinely Round 4 (Div. 1 + Div. 2),2024-07-28 14:35:00,2024,Div.1+Div.2
Codeforces,1996,Codeforces Round 962 (Div. 3),2024-07-26 14:35:00,2024,Div.3
Codeforces,1995,Codeforces Round 961 (Div. 2),2024-07-23 14:35:00,2024,Div.2
Codeforces,1990,Codeforces Round 960 (Div. 2),2024-07-20 14:35:00,2024,Div.2
Codeforces,1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),2024-07-18 14:35:00,2024,Div.1+Div.2
Codeforces,1988,Codeforces Round 958 (Div. 2),2024-07-15 14:35:00,2024,Div.2
Codeforces,1992,Codeforces Round 957 (Div. 3),2024-07-11 14:35:00,2024,Div.3
Codeforces,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,2024-07-07 14:35:00,2024,Div.2
Codeforces,1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),2024-06-30 14:35:00,2024,Div.1+Div.2
Codeforces,1989,Educational Codeforces Round 167 (Rated for Div. 2),2024-06-27 14:35:00,2024,Educational
Codeforces,1982,"Codeforces Round 955 (Div. 2, with prizes from NEAR!)",2024-06-25 14:35:00,2024,Div.2
Codeforces,1986,Codeforces Round 954 (Div. 3),2024-06-23 14:50:00,2024,Div.3
Codeforces,1978,Codeforces Round 953 (Div. 2),2024-06-16 09:05:00,2024,Div.2
Codeforces,1985,Codeforces Round 952 (Div. 4),2024-06-11 14:35:00,2024,Div.4
Codeforces,1984,Codeforces Global Round 26,2024-06-09 14:35:00,2024,Other
Codeforces,1979,Codeforces Round 951 (Div. 2),2024-06-06 14:35:00,2024,Div.2
Codeforces,1980,Codeforces Round 950 (Div. 3),2024-06-03 14:35:00,2024,Div.3
Codeforces,1981,Codeforces Round 949 (Div. 2),2024-05-31 10:05:00,2024,Div.2
Codeforces,1976,Educational Codeforces Round 166 (Rated for Div. 2),2024-05-30 14:35:00,2024,Educational
Codeforces,1977,Codeforces Round 948 (Div. 2),2024-05-26 14:35:00,2024,Div.2
Codeforces,1975,Codeforces Round 947 (Div. 1 + Div. 2),2024-05-25 14:35:00,2024,Div.1+Div.2
Codeforces,1974,Codeforces Round 946 (Div. 3),2024-05-20 14:35:00,2024,Div.3
Codeforces,1973,Codeforces Round 945 (Div. 2),2024-05-17 14:35:00,2024,Div.2
Codeforces,1958,Kotlin Heroes: Episode 10,2024-05-13 14:35:00,2024,Other
Codeforces,1971,Codeforces Round 944 (Div. 4),2024-05-10 14:35:00,2024,Div.4
Codeforces,1959,Kotlin Heroes: Practice 10,2024-05-07 15:35:00,2024,Other
Codeforces,1953,2023 Post World Finals Online ICPC Challenge powered by Huawei,2024-05-06 15:00:00,2024,Other
Codeforces,1970,"Helvetic Coding Contest 2024 online mirror (teams allowed, unrated)",2024-05-04 07:05:00,2024,Other
Codeforces,1968,Codeforces Round 943 (Div. 3),2024-05-02 14:45:00,2024,Div.3
Codeforces,1967,Codeforces Round 942 (Div. 1),2024-04-30 14:35:00,2024,Div.1
Codeforces,1972,Codeforces Round 942 (Div. 2),2024-04-30 14:35:00,2024,Div.2
Codeforces,1969,Educational Codeforces Round 165 (Rated for Div. 2),2024-04-29 14:35:00,2024,Educational
Codeforces,1965,Codeforces Round 941 (Div. 1),2024-04-27 14:35:00,2024,Div.1
Codeforces,1966,Codeforces Round 941 (Div. 2),2024-04-27 14:35:00,2024,Div.2
Codeforces,1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,2024-04-21 14:35:00,2024,Div.2
Codeforces,1956,Codeforces Round 939 (Div. 2),2024-04-13 14:35:00,2024,Div.2
Codeforces,1954,Educational Codeforces Round 164 (Rated for Div. 2),2024-04-12 14:35:00,2024,Educational
